10yard	10ヤードファイト	てんやーどふぁいと
1941	1941 - カウンターアタック	いちきゅうよん_4
1942	1942	いちきゅうよん_1
1943	1943 - ミッドウェイ海戦	いちきゅうよん_2
1943kai	1943改 - ミッドウェイ海戦	いちきゅうよん_3
1944	1944 - ザ・ループマスター	いちきゅうよん_5
19xx	19XX - THE WAR AGAINST DESTINY	ないんてぃーんだぶるえっくす
2020bb	2020年スーパーベースボール	にせんにじゅうねんすーぱーべーすぼーる
32x_knuk	カオティクス / Knuckles Chaotix (スーパー32X)	かおてぃくす_s
3countb	ファイヤー・スープレックス	ふぁいやーすーぷれっくす
3wonders	ワンダー3	わんだーすりー
40love	40-0 ＜フォーティラブ＞	ふぉーてぃーらぶ
47pie2	アイドル雀士スーチーパイII (v1.1)	あいどるじゃんしすーちーぱい2
4dwarrio	4-Dウォーリアーズ	ふぉーでぃーうぉーりあーず
500gp	500GP	ごひゃくじーぴー
64street	64番街	ろくじゅうよんばんがい
720	720°	せぶんとぅえんてぃでぃぐりーず
7ordi	7 Ordi (韓国版)	せぶんおるでぃ
88games	ハイパースポーツスペシャル	はいぱーすぽーつすぺしゃる
aar_101	アーロンスペリング (ピンボール)	あーろんすぺりんぐ
abcop	A.B.コップ	えあーばいくこっぷ
aburner	アフターバーナー	あふたーばーなー1
aburner2	アフターバーナーII	あふたーばーなー2
aceattaca	エースアタッカー (日本版, System 16A, FD1094 317-0060)	えーすあたっかー
aceattac	エースアタッカー	えーすあたっかー
acedrvrw	エースドライバー	えーすどらいばー
actfancr	アクトフェンサー	あくとふぇんさー
aerofgt	ソニックウイングス	そにっくうぃんぐす
afighter	アクションファイター	あくしょんふぁいたー
afm_113	アタックフロムマーズ (ピンボール)	あったくふろむまーず
afv_l4	アダムスファミリーバリューズ (Coin Dropper, L-4) (ピンボール)	あだむすふぁみりーp2
agallet	アクウギャレット / Air Gallet	あくうぎゃれっと
agress	アグレス - ミサイル大戦略	あぐれす
ainferno	エアーインフェルノ	えあーいんふぇるの
airbustrb	エアバスター (海賊版)	えあばすたー__b
airbustr	エアバスター	えあばすたー
airco22b	エアーコンバット22	えあーこんばっと2
aircomb	エアーコンバット	えあーこんばっと1
airduel	エアデュエル	えあでゅえる
ajax	A-JAX / Typhoon (海外版)	えーじゃっくす_w
ajaxj	A-JAX (日本版)	えーじゃっくす_j
akiss	麻雀エンジェルキッス	まーじゃんえんじぇるきっす
alexkidd	アレックスキッド - ロストスターズ	あれっくすきっどろすとすたーず
alien3	エイリアン3 ザ・ガン	えいりあん3
aliens	エイリアンズ	えいりあんず
aliensec	バラデューク / Alien Sector	ばらでゅーく
aliensyn2	エイリアンシンドローム (System 16A)	えいりあんしんどろーむa
aliensyn	エイリアンシンドローム (System 16B)	えいりあんしんどろーむb
alpha1v	Alpha One (Vision Electronics / Kyle Hodgetts)	あるふぁわん
alpham2	ASO II - ラストガーディアン	えーえすおー2
alpham2p	ASO II - ラストガーディアン (プロタイプ)	えーえすおー2p
alpine	アルペンスキー	あるぺんすきー
alpinerd	アルペンレーサー	あるぺんれーさー1
alpinesa	アルペンサーファー	あるぺんさーふぁー
alpinr2b	アルペンレーサー2	あるぺんれーさー2
altbeast	獣王記 / Alterd Beast	じゅうおうき
amazon	聖戦士アマテラス / Soldier Girl Amazon	せいせいんしあまてらす
amidar	アミダー	あみだー
andretti	マリオ・アンドレッティ (ピンボール)	まりおあんどれってぃ
androdun	アンドロデュノス	あんどろでゅのす
anteater	Anteater	あんといーたー
aodk	痛快GANGAN行進曲 / Aggressors of Dark Kombat	つうかいがんがんこうしんきょく
aof	龍虎の拳 / Art of Fighting	りゅうこのけん1
aof2	龍虎の拳2 / Art of Fighting 2	りゅうこのけん2
aof3	アートオブファイティング 龍虎の拳外伝 / Art of Fighting 3	あーとおぶふぁいてぃんぐ
apb	オールポインツバレッティン	おーるぽいんつばれってぃん
apollo13	アポロ13 (ピンボール)	あぽろさーてぃーん
aquajack	アクアジャック	あくあじゃっく
aquarium	アクアリウム	あくありうむ
aquarush	アクアラッシュ	あくあらっしゅ
arabfgt	アラビアンファイト	あらびあんふぁいと
arabianm	アラビアンマジック	あらびあんまじっく
archrivl	Arch Rivals	あーちらいんばるず
arescue	エアレスキュー	えあれすきゅー
argus	アーガス	あーがす
arkanoid	アルカノイド (海外版)	あるかのいど_w
arkarea	アークエリア	あーくえりあ
arknoid2j	アルカノイド - リベンジオブDOH (日本版)	あるかのいどりべんじおぶどー_j
arknoid2u	アルカノイド - リベンジオブDOH (US版)	あるかのいどりべんじおぶどー_u
arknoid2	アルカノイド - リベンジオブDOH	あるかのいどりべんじおぶどー_w
arkretrn	アルカノイドリターンズ	あるかのいどりたーんず
armedf	アームドF	あーむどふぉーめーしょん
armorcar	Armored Car	あーまーどかー
armwar	パワードギア	ぱわーどぎあ
ashura	阿修羅ブラスター	あしゅらぶらすたー
assault	アサルト	あさると
asterix	アステリクス	あすてりくす
astorm	エイリアンストーム	えいりあんすとーむ
astyanax	ザ・ロード・オブ・キング / The Astyanax	ざろーどおぶきんぐ
asuka	飛鳥＆飛鳥	あすかあんどあすか
asurabld	アシュラブレード	あしゅらぶれーど
asurabus	アシュラバスター	あしゅらばすたー
athena	アテナ	あてな
atlantisp	アトランティス (ピンボール)	あとらんてぃすp
aurail	オーライル	おーらいる
avengers	必殺！無頼拳 / Avengers	ひっさつぶらいけん
avsp	エイリアン VS プレデター	えいりあんばーさすぷれでたー
avspirit	ファンタズム / Avenging Spirit	ふぁんたずむ
baddudes	ドラゴン忍者 / Bad Dudes vs. Dragonninja	どらごんにんじゃ
badlands	Bad Lands	ばっどらんず
bakatono	バカ殿様麻雀漫遊記	ばかとのさままーじゃんまんゆうき
bakutotu	爆突機銃艇	ばくとつきじゅうてい
bangbead	バンビード	ばんびーど
barbwire	バーブワイヤ (ピンボール)	ばーぶわいや
bass	ゲットバス	げっとばす
batcir	バトルサーキット	ばとるさーきっと
batman	Batman	ばっとまん
batmanf	バットマンフォーエバー (ピンボール, ver 4.0)	ばっとまんふぉーえばー
batrider	アームドポリス バトライダー	あーむどぽりすばとらいだー
battlnts	バトランティス	ばとらんてぃす
battroad	ザ・バトルロード	ざばとるろーど
bayroute	ベイルート	べいるーと
baywatch	ベイウォッチ (ピンボール)	べいうぉっち
bbbxing	ベストバウトボクシング	べすとばうとぼくしんぐ
bbmanw	ボンバーマンワールド	ぼんばーまんわーるど
bbnny_l2	バッグス・バニーズ・バースデー・バッシュ (ピンボール)	ばっぐすばにーずばーすでーばっしゅ
bbusters	ビーストバスターズ	びーすとばすたーず
bcats_l5	バッドキャッツ (L-5) (ピンボール)	ばっどきゃっつp
bchopper	Mr.HELIの大冒険 / Battle Chopper (海外版)	みすたーへりのだいぼうけん_w
beastrzr	ブラッディロア - ハイパービーストデュエル	ぶらっでぃろあ1
beathead	BeatHead (プロトタイプ)	びーとへっど
bel	ビハインドエネミーラインズ	びはいんどえねみーらいんず
bellring	ベルリンガー (ピンボール)	べるりんがー
benberob	べんべろべえ	べんべろべえ
berabohm	超絶倫人ベラボーマン	ちょうぜつりんじんべらぼーまん
bermudat	バミューダトライアングル	ばみゅーだとらいあんぐる
bgaregga	バトルガレッガ	ばとるがれっが
bguns_l8	ビッグガンズ (L-8) (ピンボール)	びっぐがんずp
bigfight	ビッグファイト	びっぐふぁいと
bighurt	ビッグハート (ピンボール)	びっぐはーと
bigrun	ビッグラン	びっぐらん
bigstrik	ビッグストライカー	びっぐすとらいかー
bioatack	バイオアタック	ばいおあたっく
bionicc	トップシークレット / Bionic Commando	とっぷしーくれっと
birdtry	バーディートライ	ばーでぃーとらいい
bjourney	ラギ / Blue's Journey	らぎ
bk2k_l4	ブラックナイト2000 (L-4) (ピンボール)	ぶらっくないと2000p
bbakraid	バトルバクレイド	ばとるばくれいど
bkrtmaq	爆裂クイズ魔Q大冒険	ばくれつくいずまきゅーだいぼうけん
bladestl	Blades of Steel	ぶれーずおぶすてぃーる
blastoff	ブラストオフ	ぶらすとおふ
blazer	ブレイザー	ぶれいざー
blazstar	ブレイジングスター	ぶれいじんぐすたー
bldyror2	ブラッディロア2 - ブリンガーオブザニューエイジ	ぶらっでぃろあ2
blkpnthr	ブラックパンサー	ぶらっくぱんさー
blktiger	ブラックドラゴン / Black Tiger	ぶらっくどらごん
block	ブロックブロック	ぶろっくぶろっく
blockgal	ブロックギャル	ぶろっくぎゃる
blockhl	クォース / Block Hole	くぉーす
blockout	ブロックアウト	ぶろっくあうと
bloodbro	ブラッドブラザーズ	ぶらっどぶらざーず
bloodstm	Blood Storm	ぶらっどすとーむ
bloxeed	ブロクシード	ぶろくしーど
blstroid	ブラステロイド	ぶらすてろいど
blswhstl	出たな!!ツインビー / Bells＆Whistles	でたなついんびー
blzntrnd	ブレイジングトルネード	ぶれいじんぐとるねーど
bmaster	クロスブレイズ / Blade Master	くろすぶれいず
bnzai_l3	バンザイラン (L-3) (ピンボール)	ばんざいらんp
bodyslam	ダンプ松本 / Body Slam (海外版)	だんぷまつもと
bombjack	ボンジャック	ぼんじゃっく
bombsa	Bombs Away	ぼむずあうぇい
bonzeadv	地獄めぐり / Bonze Adventure	じごくめぐり
boogwing	ザ・グレイトラグタイムショー / Boogie Wings	ざぐれーとらぐたいむしょー
bosco	ボスコニアン (new version)	ぼすこにあん
bottom9	メインスタジアム / Bottom of the Ninth	めいんすたじあむ
bouldash	バルダーダッシュ	ばるだーだっしゅ
boxyboy	倉庫番デラックス / Boxy Boy	そうこばんでらっくす
brain	ブレイン	ぶれいん
breakers	ブレイカーズ	ぶれいかーず
breakrev	ブレイカーズリベンジ	ぶれいかーずりべんじ
brival	バーニングライバル	ばーにんぐらいばる
brvblade	ブレイブブレイド	ぶれいぶぶれいど
bssoccer	Back Street Soccer	ばっくすとりーとさっかー
bstars	ベースボールスターズプロフェッショナル	べーすぼーるすたーず1
bstars2	ベースボールスターズ2	べーすぼーるすたーず2
btime	バーガータイム (Data East)	ばーがーたいむ
btlkroad	バトルクロード	ばとるくろーど
btmn_103	バットマン (1.03) (ピンボール)	ばっとまんp
btoads	BattleToads	ばとるとーず
bubblem	バブルメモリーズ - THE STORY OF BUBLLE BOBBLE III	ばぶるめもりーず
bubbletr	バブルトラブル - ゴーリーゴースト2	ばぶるとらぶる
bublbob2	バブルシンフォニー / Bubble Bobble II	ばぶるしんふぉにー
bublbobl	バブルボブル	ばぶるぼぶる
bubsys	バブルシステムBIOS	ばぶるしすてむ
bucky	バッキーオヘア	ばっきーおへあ
buggyboyjr	バギーボーイ / Speed Buggy	ばぎーぼーい
bullet	バレット	ばれっと
bullfgt	ザ・闘牛 / Bullfight	ざとうぎゅう
bullfgtr	ブルファイター	ぶるふぁいたー
burnforc	バーニングフォース	ばーにんぐふぉーす
burningf	バーニングファイト	ばーにんぐふぁいと
burningfp	バーニングファイト (プロトタイプ)	ばーにんぐふぁいとp
butasan	ぶたさん	ぶたさん
ironclad	超鉄ブリキンガー (プロトタイプ)	ちょうてつぶりきんがーp
cactjack	カクタスジャック (ピンボール)	かくたすじゃっく
cadash	カダッシュ	かだっしゅ
calipso	Calipso	かりゅぷそ
cameltry	キャメルトライ (US版, YM2610)	きゃめるとらい
cameltrya	キャメルトライ (海外版, YM2203 + M6295)	きゃめるとらい
captaven	キャプテンアメリカ - ジ・アベンジャーズ	きゃぷてんあめりか
captcomm	キャプテンコマンドー	きゃぷてんこまんどー
carhop	カーホップ (ピンボール)	かーほっぷ
cavelon	Cavelon	けいぶろん
